market,decision_utc,h,target_r,entry,stop,tp,stake,score,post_range_gate,mature,coverage,bars,expected_bars,result,gross_pct,net_pct,gross_r,net_r,mfe_pct,mae_pct,minutes_to_peak,exit_utc,ambiguous_stop_tp,gap_below_stop,captured_positive_upside,net_pnl_guide_eur,fee_plus_slippage_each_side
STX-EUR,2026-09-21T00:00:29.036686+00:00,4,1.4,0.29275,0.28147,0.30854200000000004,,7.341,False,True,1.0,47,47,STOP,-3.8531,-4.5238,-1.0,-1.0,0.7652,-4.3553,9.52,2026-09-21T01:55:00+00:00,False,False,0.0,-0.0,0.0035
STX-EUR,2026-09-21T00:00:29.036686+00:00,4,1.5,0.29275,0.28147,0.30967,,7.341,False,True,1.0,47,47,STOP,-3.8531,-4.5238,-1.0,-1.0,0.7652,-4.3553,9.52,2026-09-21T01:55:00+00:00,False,False,0.0,-0.0,0.0035
STX-EUR,2026-09-21T00:00:29.036686+00:00,4,1.6,0.29275,0.28147,0.310798,,7.341,False,True,1.0,47,47,STOP,-3.8531,-4.5238,-1.0,-1.0,0.7652,-4.3553,9.52,2026-09-21T01:55:00+00:00,False,False,0.0,-0.0,0.0035
STX-EUR,2026-09-21T00:00:29.036686+00:00,4,2,0.29275,0.28147,0.31531,,7.341,False,True,1.0,47,47,STOP,-3.8531,-4.5238,-1.0,-1.0,0.7652,-4.3553,9.52,2026-09-21T01:55:00+00:00,False,False,0.0,-0.0,0.0035
STX-EUR,2026-09-21T00:00:29.036686+00:00,12,1.4,0.29275,0.28147,0.30854200000000004,,7.341,False,True,1.0,143,143,STOP,-3.8531,-4.5238,-1.0,-1.0,0.8574,-5.6465,569.52,2026-09-21T01:55:00+00:00,False,False,0.0,-0.0,0.0035
STX-EUR,2026-09-21T00:00:29.036686+00:00,12,1.5,0.29275,0.28147,0.30967,,7.341,False,True,1.0,143,143,STOP,-3.8531,-4.5238,-1.0,-1.0,0.8574,-5.6465,569.52,2026-09-21T01:55:00+00:00,False,False,0.0,-0.0,0.0035
STX-EUR,2026-09-21T00:00:29.036686+00:00,12,1.6,0.29275,0.28147,0.310798,,7.341,False,True,1.0,143,143,STOP,-3.8531,-4.5238,-1.0,-1.0,0.8574,-5.6465,569.52,2026-09-21T01:55:00+00:00,False,False,0.0,-0.0,0.0035
STX-EUR,2026-09-21T00:00:29.036686+00:00,12,2,0.29275,0.28147,0.31531,,7.341,False,True,1.0,143,143,STOP,-3.8531,-4.5238,-1.0,-1.0,0.8574,-5.6465,569.52,2026-09-21T01:55:00+00:00,False,False,0.0,-0.0,0.0035
STX-EUR,2026-09-21T00:00:29.036686+00:00,24,1.4,0.29275,0.28147,0.30854200000000004,,7.341,False,True,1.0,287,287,STOP,-3.8531,-4.5238,-1.0,-1.0,3.9453,-5.6465,1249.52,2026-09-21T01:55:00+00:00,False,False,0.0,-0.0,0.0035
STX-EUR,2026-09-21T00:00:29.036686+00:00,24,1.5,0.29275,0.28147,0.30967,,7.341,False,True,1.0,287,287,STOP,-3.8531,-4.5238,-1.0,-1.0,3.9453,-5.6465,1249.52,2026-09-21T01:55:00+00:00,False,False,0.0,-0.0,0.0035
STX-EUR,2026-09-21T00:00:29.036686+00:00,24,1.6,0.29275,0.28147,0.310798,,7.341,False,True,1.0,287,287,STOP,-3.8531,-4.5238,-1.0,-1.0,3.9453,-5.6465,1249.52,2026-09-21T01:55:00+00:00,False,False,0.0,-0.0,0.0035
STX-EUR,2026-09-21T00:00:29.036686+00:00,24,2,0.29275,0.28147,0.31531,,7.341,False,True,1.0,287,287,STOP,-3.8531,-4.5238,-1.0,-1.0,3.9453,-5.6465,1249.52,2026-09-21T01:55:00+00:00,False,False,0.0,-0.0,0.0035
SUI-EUR,2026-09-21T00:28:58.593462+00:00,4,1.4,0.81961,0.76828,0.8914719999999999,,8.174,False,True,1.0,47,47,HORIZON_MARK,0.2916,-0.408,0.0466,-0.059,1.3311,-2.8806,226.02,2026-09-21T04:25:00+00:00,False,False,0.2191,-0.0,0.0035
SUI-EUR,2026-09-21T00:28:58.593462+00:00,4,1.5,0.81961,0.76828,0.8966049999999999,,8.174,False,True,1.0,47,47,HORIZON_MARK,0.2916,-0.408,0.0466,-0.059,1.3311,-2.8806,226.02,2026-09-21T04:25:00+00:00,False,False,0.2191,-0.0,0.0035
SUI-EUR,2026-09-21T00:28:58.593462+00:00,4,1.6,0.81961,0.76828,0.9017379999999999,,8.174,False,True,1.0,47,47,HORIZON_MARK,0.2916,-0.408,0.0466,-0.059,1.3311,-2.8806,226.02,2026-09-21T04:25:00+00:00,False,False,0.2191,-0.0,0.0035
SUI-EUR,2026-09-21T00:28:58.593462+00:00,4,2,0.81961,0.76828,0.92226,,8.174,False,True,1.0,47,47,HORIZON_MARK,0.2916,-0.408,0.0466,-0.059,1.3311,-2.8806,226.02,2026-09-21T04:25:00+00:00,False,False,0.2191,-0.0,0.0035
SUI-EUR,2026-09-21T00:28:58.593462+00:00,12,1.4,0.81961,0.76828,0.8914719999999999,,8.174,False,True,1.0,143,143,TP,8.7678,8.0091,1.4,1.158,9.9779,-2.8806,671.02,2026-09-21T11:10:00+00:00,False,False,0.8787,0.0,0.0035
SUI-EUR,2026-09-21T00:28:58.593462+00:00,12,1.5,0.81961,0.76828,0.8966049999999999,,8.174,False,True,1.0,143,143,TP,9.3941,8.631,1.5,1.2479,9.9779,-2.8806,671.02,2026-09-21T11:35:00+00:00,False,False,0.9415,0.0,0.0035
SUI-EUR,2026-09-21T00:28:58.593462+00:00,12,1.6,0.81961,0.76828,0.9017379999999999,,8.174,False,True,1.0,143,143,HORIZON_MARK,8.9347,8.1749,1.4267,1.1819,9.9779,-2.8806,671.02,2026-09-21T12:25:00+00:00,False,False,0.8955,0.0,0.0035
SUI-EUR,2026-09-21T00:28:58.593462+00:00,12,2,0.81961,0.76828,0.92226,,8.174,False,True,1.0,143,143,HORIZON_MARK,8.9347,8.1749,1.4267,1.1819,9.9779,-2.8806,671.02,2026-09-21T12:25:00+00:00,False,False,0.8955,0.0,0.0035
SUI-EUR,2026-09-21T00:28:58.593462+00:00,24,1.4,0.81961,0.76828,0.8914719999999999,,8.174,False,True,1.0,287,287,TP,8.7678,8.0091,1.4,1.158,12.4413,-2.8806,766.02,2026-09-21T11:10:00+00:00,False,False,0.7047,0.0,0.0035
SUI-EUR,2026-09-21T00:28:58.593462+00:00,24,1.5,0.81961,0.76828,0.8966049999999999,,8.174,False,True,1.0,287,287,TP,9.3941,8.631,1.5,1.2479,12.4413,-2.8806,766.02,2026-09-21T11:35:00+00:00,False,False,0.7551,0.0,0.0035
SUI-EUR,2026-09-21T00:28:58.593462+00:00,24,1.6,0.81961,0.76828,0.9017379999999999,,8.174,False,True,1.0,287,287,TP,10.0204,9.2529,1.6,1.3378,12.4413,-2.8806,766.02,2026-09-21T12:40:00+00:00,False,False,0.8054,0.0,0.0035
SUI-EUR,2026-09-21T00:28:58.593462+00:00,24,2,0.81961,0.76828,0.92226,,8.174,False,True,1.0,287,287,HORIZON_MARK,11.8605,11.0802,1.8938,1.602,12.4413,-2.8806,766.02,2026-09-22T00:25:00+00:00,False,False,0.9533,0.0,0.0035
LDO-EUR,2026-09-21T00:51:15.289104+00:00,4,1.4,0.38362,0.36472,0.41008000000000006,,8.945,False,True,1.0,47,47,HORIZON_MARK,-1.8612,-2.5458,-0.3778,-0.4554,2.5885,-3.0994,33.75,2026-09-21T04:50:00+00:00,False,False,0.0,-0.0,0.0035
LDO-EUR,2026-09-21T00:51:15.289104+00:00,4,1.5,0.38362,0.36472,0.41197000000000006,,8.945,False,True,1.0,47,47,HORIZON_MARK,-1.8612,-2.5458,-0.3778,-0.4554,2.5885,-3.0994,33.75,2026-09-21T04:50:00+00:00,False,False,0.0,-0.0,0.0035
LDO-EUR,2026-09-21T00:51:15.289104+00:00,4,1.6,0.38362,0.36472,0.41386000000000006,,8.945,False,True,1.0,47,47,HORIZON_MARK,-1.8612,-2.5458,-0.3778,-0.4554,2.5885,-3.0994,33.75,2026-09-21T04:50:00+00:00,False,False,0.0,-0.0,0.0035
LDO-EUR,2026-09-21T00:51:15.289104+00:00,4,2,0.38362,0.36472,0.42142,,8.945,False,True,1.0,47,47,HORIZON_MARK,-1.8612,-2.5458,-0.3778,-0.4554,2.5885,-3.0994,33.75,2026-09-21T04:50:00+00:00,False,False,0.0,-0.0,0.0035
LDO-EUR,2026-09-21T00:51:15.289104+00:00,12,1.4,0.38362,0.36472,0.41008000000000006,,8.945,False,True,1.0,143,143,HORIZON_MARK,-0.1538,-0.8503,-0.0312,-0.1521,2.5885,-3.0994,33.75,2026-09-21T12:50:00+00:00,False,False,0.0,-0.0,0.0035
LDO-EUR,2026-09-21T00:51:15.289104+00:00,12,1.5,0.38362,0.36472,0.41197000000000006,,8.945,False,True,1.0,143,143,HORIZON_MARK,-0.1538,-0.8503,-0.0312,-0.1521,2.5885,-3.0994,33.75,2026-09-21T12:50:00+00:00,False,False,0.0,-0.0,0.0035
