market,decision,h,coverage,old_result,chronological_result,old_close_pct,chronological_close_pct,old_bars,archive_bars
KMNO-EUR,2026-09-21T09:50:28.328058+00:00,4,1.0,OPEN,HORIZON_MARK,-1.6205,-0.3364,48,47
KMNO-EUR,2026-09-21T09:50:28.328058+00:00,12,1.0,OPEN,HORIZON_MARK,-1.6205,-4.3214,135,143
KMNO-EUR,2026-09-21T09:50:28.328058+00:00,24,1.0,STOP,STOP,-1.6205,-7.2099,239,287
TREAD-EUR,2026-09-21T10:04:59.447374+00:00,4,1.0,TP1,TP,0.426,3.5402,43,47
TREAD-EUR,2026-09-21T10:04:59.447374+00:00,12,1.0,TP1,TP,0.426,8.6985,118,143
TREAD-EUR,2026-09-21T10:04:59.447374+00:00,24,1.0,TP1,TP,0.426,19.641,203,287
ARB-EUR,2026-09-21T10:55:47.244241+00:00,4,1.0,OPEN,HORIZON_MARK,1.2552,2.0014,48,47
ARB-EUR,2026-09-21T10:55:47.244241+00:00,12,1.0,OPEN,HORIZON_MARK,1.2552,-2.6339,141,143
ARB-EUR,2026-09-21T10:55:47.244241+00:00,24,1.0,OPEN,HORIZON_MARK,1.2552,-6.2265,276,287
G-EUR,2026-09-21T11:34:44.104091+00:00,4,1.0,OPEN,HORIZON_MARK,1.6106,-4.4993,47,47
G-EUR,2026-09-21T11:34:44.104091+00:00,12,1.0,OPEN,HORIZON_MARK,1.6106,-2.8545,137,143
G-EUR,2026-09-21T11:34:44.104091+00:00,24,1.0,STOP,STOP,1.6106,-9.528,262,287
PROVE-EUR,2026-09-21T12:48:08.606250+00:00,4,1.0,OPEN,HORIZON_MARK,-1.6643,-7.0183,46,47
PROVE-EUR,2026-09-21T12:48:08.606250+00:00,12,1.0,STOP,STOP,-1.6643,-8.7839,114,143
PROVE-EUR,2026-09-21T12:48:08.606250+00:00,24,1.0,STOP,STOP,-1.6643,-12.7554,181,287
C-EUR,2026-09-21T13:22:15.309829+00:00,4,1.0,OPEN,HORIZON_MARK,-0.1705,-0.2292,38,47
C-EUR,2026-09-21T13:22:15.309829+00:00,12,1.0,OPEN,HORIZON_MARK,-0.1705,3.3298,114,143
C-EUR,2026-09-21T13:22:15.309829+00:00,24,1.0,OPEN,HORIZON_MARK,-0.1705,4.4775,232,287
