market,from,to,minutes,range_before,range_after,stop_after
ENSO-EUR,2026-09-20T10:39:15.825733+00:00,2026-09-20T10:52:40.681294+00:00,13.41,4.371718158505305,17.034805890227574,12.072272090654442
PTB-EUR,2026-09-21T01:02:59.123557+00:00,2026-09-21T01:54:36.280617+00:00,51.62,5.323102745474163,10.754158122579165,22.26156182151016
METIS-EUR,2026-09-21T08:59:21.708216+00:00,2026-09-21T09:36:16.594747+00:00,36.91,4.495368113115542,9.020857832518402,10.591102932840297
PUFFER-EUR,2026-09-21T17:58:31.550615+00:00,2026-09-21T18:06:10.138704+00:00,7.64,2.9206088029617394,13.877430760165,16.850127551020417
ZETA-EUR,2026-09-21T03:23:31.455269+00:00,2026-09-21T03:58:38.971509+00:00,35.13,5.353675450762832,8.833266047638272,32.18954854051959
IKA-EUR,2026-09-22T13:26:57.551842+00:00,2026-09-22T13:57:54.059030+00:00,30.94,2.6146220570012426,7.567535333055048,12.513237835126251
CPOOL-EUR,2026-09-22T01:20:44.866770+00:00,2026-09-22T01:36:44.125592+00:00,15.99,5.265384615384611,9.688321441982723,12.173778602350028
LAPTOP-EUR,2026-09-21T11:39:16.637783+00:00,2026-09-21T11:54:10.561413+00:00,14.9,3.9925373134328415,7.3532934131736605,10.14509712146033
AIOZ-EUR,2026-09-21T11:21:15.861449+00:00,2026-09-21T12:07:17.176138+00:00,46.02,5.0147937576144255,6.6768563368884815,10.067837147191488
AIOZ-EUR,2026-09-21T19:13:20.784735+00:00,2026-09-21T19:20:22.110618+00:00,7.02,4.892462798896847,11.133283205120792,12.45960133759271
BCH-EUR,2026-09-22T12:38:11.438253+00:00,2026-09-22T12:47:11.344546+00:00,9.0,1.882302953048654,11.941047108298926,11.429769346372497
PROM-EUR,2026-09-22T17:14:52.870542+00:00,2026-09-22T17:31:33.407208+00:00,16.68,5.803113987953909,12.807836251905936,13.722485027770276
