market,decision_ts,cycle_id,decision_type,entry_eur,stop_eur,tp1_eur,stake_eur,signal_score,source_runtime_sha,plan_source,actual_mark_sent_ts,reason,signal_price_eur,signal_phase,episode_extension_pct,context,evaluations,tp2_eur,structural_range_15m_pct,stop_distance_pct
DRIFT-EUR,1789946489.960957,2026-09-20T23:18:58.040543+00:00,BUY_SENT,,,,,9.134,b50d1f4f2a1786df557b1985eb2a237a7950bbac,exact_delivery_commit_alert_state,1789946494.3495822,,,,,,,,,
LUNA2-EUR,1789946597.114744,2026-09-20T23:22:02.078497+00:00,BUY_SENT,,,,,8.476,ac17a61a14318a8ca5ee83947ed5574b9e57d882,exact_delivery_commit_alert_state,1789946601.6263535,,,,,,,,,
KMNO-EUR,1789948042.141843,2026-09-20T23:46:05.408287+00:00,BUY_SENT,,,,,7.078,2855edfaa6ae810f0128850618fefa854adf5dd6,exact_delivery_commit_alert_state,1789948045.3883615,,,,,,,,,
STX-EUR,1789948829.036686,2026-09-20T23:59:14.970213+00:00,BUY_SENT,0.29275,0.28147,0.31531,,7.341,25d1f53e8e4ce806baba704ba1b03b9a3931e434,exact_delivery_commit_alert_state,1789948831.7281382,,,,,,,,,
SUI-EUR,1789950538.593462,2026-09-21T00:27:38.758924+00:00,BUY_SENT,0.81961,0.76828,0.92226,,8.174,03fa4d3933312e85fd70d2b8310d7b8a037d66c4,exact_delivery_commit_alert_state,1789950543.751745,,,,,,,,,
LDO-EUR,1789951875.289104,2026-09-21T00:50:01.668723+00:00,BUY_SENT,0.38362,0.36472,0.42142,,8.945,6362f1022dc68d97c706afc55c261e33827d8d69,exact_delivery_commit_alert_state,1789951877.5438879,,,,,,,,,
MORPHO-EUR,1789952735.816577,2026-09-21T01:04:21.087857+00:00,BUY_SENT,2.43888,2.33865,2.63934,,6.672,6b55f1db52a55d83f23ce82b1558533afdb72478,exact_delivery_commit_alert_state,1789952738.432788,,,,,,,,,
VVV-EUR,1789953847.495398,2026-09-21T01:22:53.383371+00:00,BUY_SENT,27.0683,24.9591,31.2867,,8.369,130e11a4a143757232547bda7fff4e9208d7b1c1,exact_delivery_commit_alert_state,1789953851.6704879,,,,,,,,,
XPL-EUR,1789954894.378826,2026-09-21T01:40:19.246425+00:00,BUY_SENT,0.082007,0.077131,0.091758,,7.057,eda1c0807d7a2e863a5d1ed8ba8a4b465fc5bfb9,exact_delivery_commit_alert_state,1789954898.3728912,,,,,,,,,
KMNO-EUR,1789959153.329673,2026-09-21T02:51:18.113093+00:00,BUY_SENT,0.029925,0.02822,0.033335,,7.441,f604813a95936143bb4aca5e8ef259cc0b7a33fb,exact_delivery_commit_alert_state,1789959156.4744973,,,,,,,,,
G-EUR,1789961390.434471,2026-09-21T03:28:35.947639+00:00,BUY_SENT,0.0062212,0.0057262,0.0072111,,7.069,8f26ae02c248cac702398fc773e8326633a2ae89,exact_delivery_commit_alert_state,1789961393.1654365,,,,,,,,,
USELESS-EUR,1789962512.214516,2026-09-21T03:47:17.290061+00:00,BUY_SENT,0.219354,0.20368,0.250702,,9.209,1ac8e00a7bb58fb430fb36855aafc5144de01726,exact_delivery_commit_alert_state,1789962514.4803498,,,,,,,,,
TAIKO-EUR,1789963289.942051,2026-09-21T04:00:15.458582+00:00,BUY_SENT,0.0774,0.0736,0.08499,,6.933,6382c62dba460ecb9c8067e89f4fe3ca49e6307c,exact_delivery_commit_alert_state,1789963293.1897552,,,,,,,,,
AVAX-EUR,1789965794.320703,2026-09-21T04:41:59.372024+00:00,BUY_SENT,10.027,9.5882,10.9045,,7.727,5cd1418a80f442d67ae5283a9f9f515e9310f950,exact_delivery_commit_alert_state,1789965799.1634383,,,,,,,,,
NIL-EUR,1789969009.224106,2026-09-21T05:35:35.366436+00:00,BUY_SENT,0.057231,0.052465,0.066762,,7.771,092155497c41a25c495d38b853e6a3c4680e05ba,exact_delivery_commit_alert_state,1789969012.284636,,,,,,,,,
ZAMA-EUR,1789969988.711854,2026-09-21T05:51:54.796720+00:00,BUY_SENT,0.081842,0.074958,0.09561,,7.769,eee357feb185f22632753da8e414068e38912f59,exact_delivery_commit_alert_state,1789969991.3149023,,,,,,,,,
EGLD-EUR,1789971266.302649,2026-09-21T06:13:11.536159+00:00,BUY_SENT,3.6903,3.5141,4.0427,,7.566,258f5686f036fa0b16573557b94ff0c4c247ffea,exact_delivery_commit_alert_state,1789971272.1361165,,,,,,,,,
APT-EUR,1789972911.299971,2026-09-21T06:40:35.522676+00:00,BUY_SENT,0.6695,0.6379,0.7326,,8.199,8dcb662d648443dc85e24aec0bde94283aedc2b6,exact_delivery_commit_alert_state,1789972914.2207336,,,,,,,,,
PHA-EUR,1789975407.113631,2026-09-21T07:22:11.350514+00:00,BUY_SENT,0.036527,0.033484,0.042612,,7.686,2f11aab606c3d87506299ce0618f6f8c9f4079ac,exact_delivery_commit_alert_state,1789975409.976164,,,,,,,,,
DRIFT-EUR,1789982155.78886,2026-09-21T09:14:41.848692+00:00,BUY_SENT,0.015558,0.014316,0.018042,,7.835,e12fad2b6f62099c65e588876767cdbba307e96d,exact_delivery_commit_alert_state,1789982159.8316298,,,,,,,,,
BONK-EUR,1789983270.769419,2026-09-21T09:33:16.622360+00:00,BUY_SENT,2.8797e-06,2.6269e-06,3.3853e-06,127.01145210210001,9.946,11c4364d42d8e7692cc2b17c9a3ff49fa50e9415,,,,,,,,,,,
