market,rejected_at,reason,execution_valid_at,state,delay_minutes,price_change_pct,fully_actionable_at,next_buy_at,evaluation_4h
SYN-EUR,2026-09-21T19:10:03.509134+00:00,STRUCTURAL_STOP_TOO_WIDE,2026-09-22T15:53:11.202336+00:00,BUILDING_ACCELERATION,1242.915,-8.5292,,,"{""horizon_hours"": 4, ""mfe_pct"": -0.4085, ""mae_pct"": -4.1076, ""close_return_pct"": -3.1044, ""bars_used"": 48, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
AIOZ-EUR,2026-09-21T19:12:44.609420+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T11:52:22.895284+00:00,BUILDING_ACCELERATION,999.5949999999999,13.0492,,,"{""horizon_hours"": 4, ""mfe_pct"": 1.1994, ""mae_pct"": -12.6584, ""close_return_pct"": -6.2667, ""bars_used"": 44, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
PHA-EUR,2026-09-21T19:28:16.003677+00:00,STRUCTURAL_STOP_TOO_WIDE,2026-09-22T00:49:46.354962+00:00,BUILDING_ACCELERATION,321.40333333333336,-4.4729,2026-09-22T02:43:07.532704+00:00,,"{""horizon_hours"": 4, ""mfe_pct"": 7.1311, ""mae_pct"": -5.4543, ""close_return_pct"": -0.0754, ""bars_used"": 46, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
ICX-EUR,2026-09-21T19:28:16.003677+00:00,SPREAD_TOO_WIDE,2026-09-22T19:17:58.910436+00:00,BUILDING_ACCELERATION,1429.6116666666667,-20.1289,,,
PEAQ-EUR,2026-09-21T19:44:14.026152+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-21T23:15:39.922650+00:00,BUILDING_ACCELERATION,211.34666666666666,3.5461,,,"{""horizon_hours"": 4, ""mfe_pct"": 1.1538, ""mae_pct"": -5.1446, ""close_return_pct"": -4.5815, ""bars_used"": 29, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
SAGA-EUR,2026-09-21T19:57:06.989579+00:00,STRUCTURAL_STOP_TOO_WIDE,2026-09-21T22:16:23.617417+00:00,BUILDING_ACCELERATION,139.13666666666668,-5.8317,2026-09-22T16:30:36.163974+00:00,2026-09-22T16:30:15.142903+00:00,"{""horizon_hours"": 4, ""mfe_pct"": 4.1836, ""mae_pct"": -0.9854, ""close_return_pct"": 0.9382, ""bars_used"": 38, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
EPIC-EUR,2026-09-21T19:57:06.989579+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T02:57:11.622297+00:00,CONFIRMED_ACCELERATION,419.93833333333333,4.4397,2026-09-22T02:57:11.622297+00:00,2026-09-22T02:56:58.278165+00:00,"{""horizon_hours"": 4, ""mfe_pct"": 1.5864, ""mae_pct"": -3.5857, ""close_return_pct"": -0.51, ""bars_used"": 44, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
AVA-EUR,2026-09-21T20:48:28.189324+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T08:42:46.675112+00:00,CONFIRMED_ACCELERATION,714.23,12.2702,2026-09-22T08:42:46.675112+00:00,2026-09-22T08:42:31.691388+00:00,"{""horizon_hours"": 4, ""mfe_pct"": 0.2583, ""mae_pct"": -6.9875, ""close_return_pct"": -1.4875, ""bars_used"": 40, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
KERNEL-EUR,2026-09-21T22:07:41.479671+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T08:23:43.337763+00:00,BUILDING_ACCELERATION,615.9300000000001,36.2622,,,"{""horizon_hours"": 4, ""mfe_pct"": 3.3683, ""mae_pct"": -3.5634, ""close_return_pct"": -3.5616, ""bars_used"": 45, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
WIF-EUR,2026-09-21T22:26:04.342978+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T07:30:44.422547+00:00,BUILDING_ACCELERATION,544.3833333333333,4.3974,2026-09-22T08:58:41.282159+00:00,2026-09-22T08:58:09.751910+00:00,"{""horizon_hours"": 4, ""mfe_pct"": 5.1909, ""mae_pct"": -3.8326, ""close_return_pct"": 1.6373, ""bars_used"": 47, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
