rank,market,window_h,start_utc,end_utc,return_pct,price_start,price_end,category,first_detection,detection_price,detection_extension_pct,detection_state,source_sha,first_buy,buy_price,buy_extension_pct,delay_detection_buy_minutes,last_buy_before_window,reject_reasons,peak_utc,peak_gain_pct,first_observed_plus5,first_observed_plus10,first_observed_plus20
1,ICX-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,68.5714,0.00875,0.01475,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-21T08:12:44.974452+00:00,0.008557,-2.2057,CONFIRMED_ACCELERATION,3be2794bbd1a76db8fe31addd6dba041aedecea5,,,,,,"{""INSUFFICIENT_EXECUTION_LIQUIDITY"": 4, ""SPREAD_TOO_WIDE"": 11}",2026-09-21T16:45:00+00:00,264.5943,2026-09-21T16:22:46.042534+00:00,2026-09-21T16:22:46.042534+00:00,2026-09-21T16:22:46.042534+00:00
2,NIL-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,58.629,0.043545,0.069075,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-21T04:57:28.586054+00:00,0.05522,26.8113,BUILDING_ACCELERATION,6967ff8f5e1233e85f1d5da3a7b45caf6606cb49,2026-09-21T05:36:49.224106+00:00,0.057231,31.4296,39.34,,"{""PRIOR_BUY_THESIS_STILL_ACTIVE"": 3, ""STRUCTURAL_STOP_TOO_WIDE"": 4}",2026-09-22T14:25:00+00:00,75.8595,2026-09-20T17:33:18.799354+00:00,2026-09-20T18:01:52.216977+00:00,2026-09-20T20:24:29.896402+00:00
3,SAGA-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,54.4975,0.021823,0.033716,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-21T01:22:53.383371+00:00,0.033542,53.7002,BUILDING_ACCELERATION,130e11a4a143757232547bda7fff4e9208d7b1c1,2026-09-22T16:30:15.142903+00:00,0.034395,57.6089,2347.36,,"{""STRUCTURAL_STOP_TOO_WIDE"": 3, ""STRUCTURAL_RANGE_TOO_NARROW"": 1}",2026-09-22T06:20:00+00:00,79.2971,2026-09-20T03:48:01.879399+00:00,2026-09-20T05:27:44.479186+00:00,2026-09-20T15:16:38.504237+00:00
4,ZRC-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,50.6507,0.0007684,0.0011576,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-21T12:06:32.299976+00:00,0.0007864,2.3425,BUILDING_ACCELERATION,e416c4f6b0dbeb89ea2c965eb6221107104a11f4,,,,,,"{""INSUFFICIENT_EXECUTION_LIQUIDITY"": 1, ""SPREAD_TOO_WIDE"": 7}",2026-09-21T16:10:00+00:00,388.0271,2026-09-21T15:15:05.209507+00:00,2026-09-21T15:15:05.209507+00:00,2026-09-21T15:15:05.209507+00:00
5,AIOZ-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,43.9115,0.076579,0.110206,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-21T08:54:03.280124+00:00,0.082561,7.8115,BUILDING_ACCELERATION,d6ace149d463c5681f6871d01ea0cad65855defa,,,,,,"{""SPREAD_TOO_WIDE"": 5, ""STRUCTURAL_STOP_TOO_WIDE"": 5, ""STRUCTURAL_RANGE_TOO_NARROW"": 2}",2026-09-21T22:10:00+00:00,82.5566,2026-09-20T19:52:47.918786+00:00,2026-09-21T11:21:15.861449+00:00,2026-09-21T12:13:43.542532+00:00
6,PTB-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,43.2117,0.0006084,0.0008713,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-20T23:22:02.078497+00:00,0.0008311,36.6042,BUILDING_ACCELERATION,ac17a61a14318a8ca5ee83947ed5574b9e57d882,,,,,,"{""STRUCTURAL_STOP_TOO_WIDE"": 1, ""SPREAD_TOO_WIDE"": 1}",2026-09-21T04:10:00+00:00,104.3557,2026-09-20T11:25:01.952036+00:00,2026-09-20T11:41:01.944115+00:00,2026-09-20T11:53:49.619820+00:00
7,ZETA-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,40.8338,0.034491,0.048575,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-21T03:08:01.866348+00:00,0.03573,3.5922,CONFIRMED_ACCELERATION,7512ab2a7413dd3f92a0331a78d923cda36cd312,2026-09-22T00:27:00.794011+00:00,0.051019,47.9197,1278.98,,"{""INSUFFICIENT_EXECUTION_LIQUIDITY"": 2, ""STRUCTURAL_STOP_TOO_WIDE"": 3, ""SPREAD_TOO_WIDE"": 1}",2026-09-21T08:50:00+00:00,77.5797,2026-09-21T03:23:31.455269+00:00,2026-09-21T03:58:38.971509+00:00,2026-09-21T03:58:38.971509+00:00
8,DRIFT-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,40.6808,0.014277,0.020085,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-20T23:18:58.040543+00:00,0.014199,-0.5463,,b50d1f4f2a1786df557b1985eb2a237a7950bbac,2026-09-20T23:21:29.960957+00:00,,,2.53,,"{""STRUCTURAL_STOP_TOO_WIDE"": 1, ""SPREAD_TOO_WIDE"": 1}",2026-09-22T19:15:00+00:00,65.532,2026-09-21T06:30:05.564047+00:00,2026-09-21T09:36:16.594747+00:00,2026-09-22T17:58:35.657489+00:00
9,KERNEL-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,40.0628,0.037606,0.052672,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-21T04:22:03.759229+00:00,0.039013,3.7414,CONFIRMED_ACCELERATION,2f204006fa1b7f5d65d5bbe11463547aabb87b7a,2026-09-22T07:47:32.579901+00:00,0.05833,55.1082,1645.48,,"{""INSUFFICIENT_EXECUTION_LIQUIDITY"": 1, ""STRUCTURAL_STOP_TOO_WIDE"": 1, ""STRUCTURAL_RANGE_TOO_NARROW"": 1, ""SPREAD_TOO_WIDE"": 4}",2026-09-22T01:20:00+00:00,68.0583,2026-09-21T04:55:42.219868+00:00,2026-09-21T05:33:16.070810+00:00,2026-09-22T01:20:44.866770+00:00
10,BCH-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,36.7298,218.46,298.7,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-20T23:32:41.063017+00:00,221.87,1.5609,BUILDING_ACCELERATION,30f461f59ded4f453aa875d99889c71ffd77c5b2,,,,,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 1, ""STRUCTURAL_STOP_TOO_WIDE"": 3}",2026-09-22T19:20:00+00:00,38.9041,2026-09-21T10:47:44.118081+00:00,2026-09-22T12:38:11.438253+00:00,2026-09-22T13:01:37.456984+00:00
11,USELESS-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,35.3201,0.223159,0.301979,BUY_OBSERVED_BEFORE_PLUS5_WINDOW_BASE,2026-09-20T23:59:14.970213+00:00,0.209203,-6.2538,BUILDING_ACCELERATION,25d1f53e8e4ce806baba704ba1b03b9a3931e434,2026-09-21T03:48:32.214516+00:00,0.219354,-1.7051,229.29,,"{""PRIOR_BUY_THESIS_STILL_ACTIVE"": 2}",2026-09-22T20:20:00+00:00,36.9669,2026-09-21T09:22:03.492241+00:00,2026-09-21T10:31:15.238297+00:00,2026-09-22T11:46:33.314883+00:00
12,CHR-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,35.2652,0.014856,0.020095,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-21T18:11:17.958283+00:00,0.015463,4.0859,CONFIRMED_ACCELERATION,97d76d13a50cdd88ebc1ef139e43b7e1aa814ca1,,,,,,"{""INSUFFICIENT_EXECUTION_LIQUIDITY"": 2, ""SPREAD_TOO_WIDE"": 3, ""STRUCTURAL_STOP_TOO_WIDE"": 1}",2026-09-22T16:15:00+00:00,58.0035,2026-09-22T01:36:44.125592+00:00,2026-09-22T14:56:20.538496+00:00,2026-09-22T16:22:16.725708+00:00
13,PHA-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,33.9222,0.030794,0.04124,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-21T05:35:35.366436+00:00,0.03423,11.158,BUILDING_ACCELERATION,092155497c41a25c495d38b853e6a3c4680e05ba,2026-09-21T07:23:27.113631+00:00,0.036527,18.6173,107.86,,"{""STRUCTURAL_STOP_TOO_WIDE"": 4, ""SPREAD_TOO_WIDE"": 2, ""PRIOR_BUY_THESIS_STILL_ACTIVE"": 1}",2026-09-21T10:55:00+00:00,87.6372,2026-09-20T19:52:47.918786+00:00,2026-09-21T03:58:38.971509+00:00,2026-09-21T08:26:12.636796+00:00
14,S-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,32.4001,0.028574,0.037832,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-21T04:41:59.372024+00:00,0.034101,19.3428,BUILDING_ACCELERATION,5cd1418a80f442d67ae5283a9f9f515e9310f950,2026-09-22T07:47:32.579901+00:00,0.037651,31.7666,1625.55,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 1, ""PRIOR_BUY_THESIS_STILL_ACTIVE"": 1}",2026-09-22T10:40:00+00:00,46.8363,2026-09-20T05:43:17.610481+00:00,2026-09-20T11:25:01.952036+00:00,2026-09-20T19:52:47.918786+00:00
15,PENGU-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,29.8985,0.0068301,0.0088722,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-21T00:27:38.758924+00:00,0.0069726,2.0864,BUILDING_ACCELERATION,03fa4d3933312e85fd70d2b8310d7b8a037d66c4,,,,,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 3}",2026-09-22T20:45:00+00:00,34.2162,2026-09-21T08:59:21.708216+00:00,2026-09-21T15:15:05.209507+00:00,2026-09-22T17:31:33.407208+00:00
16,AKT-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,27.5383,0.48438,0.61777,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-21T08:38:31.093519+00:00,0.53624,10.7065,BUILDING_ACCELERATION,df7a430dee3cf433d055f1f6ea223a75b7bb6ea5,,,,,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 1}",2026-09-22T20:05:00+00:00,30.8456,2026-09-21T00:27:35.662571+00:00,2026-09-21T08:44:35.947136+00:00,2026-09-21T14:22:12.407492+00:00
17,NOS-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,27.0026,0.26416,0.33549,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-21T00:50:01.668723+00:00,0.27549,4.2891,CONFIRMED_ACCELERATION,6362f1022dc68d97c706afc55c261e33827d8d69,2026-09-22T15:37:52.481877+00:00,0.34684,31.2992,2327.85,,"{""INSUFFICIENT_EXECUTION_LIQUIDITY"": 2, ""SPREAD_TOO_WIDE"": 5}",2026-09-22T16:30:00+00:00,35.4558,2026-09-21T03:42:57.795789+00:00,2026-09-21T15:15:05.209507+00:00,2026-09-21T16:22:46.042534+00:00
18,GRT-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,26.9226,0.017632,0.022379,DETECTED_NO_BUY_REASON_UNRESOLVED,2026-09-21T02:51:18.113093+00:00,0.01976,12.069,BUILDING_ACCELERATION,f604813a95936143bb4aca5e8ef259cc0b7a33fb,,,,,,{},2026-09-22T21:30:00+00:00,26.9226,2026-09-20T15:32:49.758089+00:00,2026-09-20T18:54:15.814085+00:00,2026-09-22T14:19:28.756087+00:00
19,VVV-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,26.1044,22.0928,27.86,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-20T23:46:05.408287+00:00,25.7982,16.772,BUILDING_ACCELERATION,2855edfaa6ae810f0128850618fefa854adf5dd6,2026-09-21T01:24:07.495398+00:00,27.0683,22.5209,98.03,,"{""PRIOR_BUY_THESIS_STILL_ACTIVE"": 1, ""STRUCTURAL_RANGE_TOO_NARROW"": 1}",2026-09-21T08:15:00+00:00,36.4983,2026-09-20T04:38:52.483242+00:00,2026-09-20T08:50:31.277303+00:00,2026-09-21T01:21:54.484517+00:00
20,MERL-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,25.1661,0.021525,0.026942,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-21T04:57:28.586054+00:00,0.023782,10.4855,BUILDING_ACCELERATION,6967ff8f5e1233e85f1d5da3a7b45caf6606cb49,2026-09-22T16:47:58.557786+00:00,0.026928,25.101,2150.5,,{},2026-09-22T17:20:00+00:00,30.2718,2026-09-20T09:51:15.060593+00:00,2026-09-21T09:22:03.492241+00:00,2026-09-22T10:54:21.307369+00:00
21,MET-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,24.475,0.21998,0.27382,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-21T08:12:44.974452+00:00,0.2269,3.1457,BUILDING_ACCELERATION,3be2794bbd1a76db8fe31addd6dba041aedecea5,,,,,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 1, ""INSUFFICIENT_EXECUTION_LIQUIDITY"": 1}",2026-09-22T20:40:00+00:00,24.625,2026-09-21T08:44:35.947136+00:00,2026-09-21T15:15:05.209507+00:00,2026-09-22T17:14:52.870542+00:00
22,FTT-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,24.4609,0.1827,0.22739,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-20T22:33:35.088142+00:00,0.24839,35.9551,,5f8254f9f478c67e81549fcbc3c444f314a149b1,,,,,,"{""SPREAD_TOO_WIDE"": 6}",2026-09-20T20:05:00+00:00,66.902,2026-09-20T15:59:53.043292+00:00,2026-09-20T15:59:53.043292+00:00,2026-09-20T15:59:53.043292+00:00
23,ZRO-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,24.0633,0.9608,1.192,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-20T21:32:36.395653+00:00,1.0333,7.5458,,e92f05b26fdafe2d279c7d99e8c1fd67cde47e08,,,,,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 1, ""STRUCTURAL_STOP_TOO_WIDE"": 1}",2026-09-22T17:15:00+00:00,30.9742,2026-09-20T20:07:40.960928+00:00,2026-09-21T09:42:37.705624+00:00,2026-09-22T16:22:16.725708+00:00
24,KMNO-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,24.0253,0.023879,0.029616,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-20T23:46:05.408287+00:00,0.029453,23.3427,CONFIRMED_ACCELERATION,2855edfaa6ae810f0128850618fefa854adf5dd6,2026-09-20T23:47:22.141843+00:00,,,1.28,,{},2026-09-21T13:10:00+00:00,35.8055,2026-09-20T16:19:50.803487+00:00,2026-09-20T16:36:04.478694+00:00,2026-09-20T22:30:27.750379+00:00
25,HBAR-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,23.6066,0.070188,0.086757,DETECTED_NO_BUY_REASON_UNRESOLVED,2026-09-21T12:27:16.743217+00:00,0.079851,13.7673,BUILDING_ACCELERATION,550de9ec8ab06af7335089f28de451336442fcd5,,,,,,{},2026-09-22T20:25:00+00:00,25.3305,2026-09-20T13:54:53.093514+00:00,2026-09-20T15:16:38.504237+00:00,2026-09-22T08:53:17.839555+00:00
26,KITE-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,22.9162,0.09862,0.12122,DETECTED_NO_BUY_REASON_UNRESOLVED,2026-09-22T06:32:01.211739+00:00,0.10893,10.4543,BUILDING_ACCELERATION,39787c94e06e2da3ad3cbd6ed3a8518afd319bd3,,,,,,{},2026-09-22T18:45:00+00:00,24.0621,2026-09-21T09:22:03.492241+00:00,2026-09-22T06:24:16.506343+00:00,2026-09-22T15:14:46.746802+00:00
27,GOAT-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,22.4059,0.014822,0.018143,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-21T06:59:39.808873+00:00,0.015361,3.6365,BUILDING_ACCELERATION,1d91870797f3ff83926cfe2e33de896a016d9993,2026-09-22T13:18:59.284728+00:00,0.017404,17.4201,1819.32,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 1, ""PRIOR_BUY_THESIS_STILL_ACTIVE"": 1}",2026-09-22T19:00:00+00:00,28.876,2026-09-21T09:54:48.265332+00:00,2026-09-21T15:15:05.209507+00:00,2026-09-22T18:43:30.163094+00:00
28,SEI-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,22.3,0.043,0.052589,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-21T04:41:59.372024+00:00,0.04984,15.907,BUILDING_ACCELERATION,5cd1418a80f442d67ae5283a9f9f515e9310f950,,,,,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 1}",2026-09-21T11:00:00+00:00,31.0372,2026-09-20T20:24:29.896402+00:00,2026-09-21T00:27:35.662571+00:00,2026-09-21T10:31:15.238297+00:00
29,GRASS-EUR,72,2026-09-19T21:50:10.567117+00:00,2026-09-22T21:40:16.069215+00:00,21.9594,0.30948,0.37744,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-21T03:47:17.290061+00:00,0.31862,2.9533,BUILDING_ACCELERATION,1ac8e00a7bb58fb430fb36855aafc5144de01726,2026-09-21T20:18:05.747955+00:00,0.34572,11.71,990.81,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 1}",2026-09-22T08:55:00+00:00,32.0311,2026-09-21T09:36:16.594747+00:00,2026-09-21T20:18:05.659637+00:00,2026-09-21T20:56:36.237161+00:00
