BITVAVO MARKET CONTROL — FULL ACTIVE EUR UNIVERSE
generated_at_utc: 2026-09-10T23:02:18.802901+00:00
active_eur_markets: 430
v4_generated_at_utc: 2026-09-10T23:01:43.798839+00:00
v3_generated_at_utc: 2026-09-10T23:01:43.798839+00:00
RULE: this is the mandatory second reading of every scan; V3/V4 remain the prospective first reading.

COVERAGE
top_10: V4=2/10 | V3=2/10 | either=3/10 (30.0%)
top_20: V4=5/20 | V3=5/20 | either=7/20 (35.0%)
top_40: V4=10/40 | V3=7/40 | either=14/40 (35.0%)

TOP_24H_GAINERS
rank | market | ch24% | last | vol24EUR | collector | V4[action,opp,entry,trend] | V3[stage,buy,score] | audit
1 | VTHO-EUR | 39.9152 | 0.00052124 | 3517255 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
2 | NES-EUR | 34.6014 | 0.1295 | 206926 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
3 | SAGA-EUR | 30.3845 | 0.015431 | 540003 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
4 | CNPY-EUR | 25.0064 | 0.19416 | 1752902 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
5 | UP-EUR | 24.5927 | 0.060263 | 326292 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
6 | RAY-EUR | 17.7124 | 1.23292 | 5597341 | TRUE | -, -, -, - | PRE_IGNITION, FALSE, 7.56 | V3_TRACKED_ONLY
7 | PUFFER-EUR | 16.8154 | 0.016235 | 72276 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
8 | MET-EUR | 10.9172 | 0.18877 | 87303 | TRUE | WATCH, 7.713, 6.7, 6.05 | IGNITION, FALSE, 10.0 | V4_TRACKED
9 | ETHFI-EUR | 9.5967 | 0.57478 | 1460628 | TRUE | ENTRY_WINDOW, 7.833, 6.05, 8.95 | -, FALSE, - | V4_TRACKED
10 | VVV-EUR | 8.936 | 20.8973 | 644776 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
11 | EIGEN-EUR | 8.8562 | 0.18806 | 210079 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
12 | INIT-EUR | 8.7477 | 0.060865 | 26168 | TRUE | WATCH, 7.414, 5.25, 7.7 | PRE_IGNITION, FALSE, 6.913 | V4_TRACKED
13 | BIRB-EUR | 5.7219 | 0.05543 | 157930 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
14 | NEWT-EUR | 4.891 | 0.038538 | 212272 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
15 | DYM-EUR | 4.8058 | 0.012387 | 21092 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
16 | USELESS-EUR | 4.3689 | 0.208 | 4777996 | TRUE | WATCH, 7.558, 7.15, 8.1 | PRE_IGNITION, FALSE, 6.978 | V4_TRACKED
17 | RUNE-EUR | 4.1643 | 0.42773 | 253037 | TRUE | -, -, -, - | WATCH, FALSE, 5.767 | V3_TRACKED_ONLY
18 | APT-EUR | 4.0961 | 0.5591 | 512152 | TRUE | WATCH, 7.229, 6.7, 7.4 | -, FALSE, - | V4_TRACKED
19 | DODO-EUR | 3.8852 | 0.015161 | 378515 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
20 | RE-EUR | 3.4928 | 0.37423 | 100777 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
21 | ZKJ-EUR | 3.1392 | 0.004764 | 51154 | TRUE | -, -, -, - | IGNITION, FALSE, 8.115 | V3_TRACKED_ONLY
22 | HAEDAL-EUR | 2.944 | 0.01598 | 10455 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
23 | VET-EUR | 2.7948 | 0.0065765 | 2064847 | TRUE | WATCH, 7.596, 6.25, 8.65 | -, FALSE, - | V4_TRACKED
24 | BLEND-EUR | 2.643 | 0.0567 | 2885 | FALSE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
25 | RPL-EUR | 2.6169 | 1.4548 | 25039 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
26 | ZIG-EUR | 2.5854 | 0.03825 | 197233 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
27 | O-EUR | 2.5632 | 0.45936 | 6355 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4
28 | COTI-EUR | 2.4207 | 0.015951 | 798365 | TRUE | WATCH, 7.314, 6.1, 8.3 | -, FALSE, - | V4_TRACKED
