BITVAVO SCAN V4 — STABILIZED DECISIONS
generated_at_utc: 2026-09-19T13:45:44.019711+00:00
RULE: BUY_READY minimum lifetime 15m; 2 weak scans to downgrade; former buys tracked 2h unless hard invalidation.
market | stable_action | raw_action | opportunity | entry | trend | last | ch24 | confirms | flags | stability
XLM-EUR | REENTRY_READY | REENTRY_READY | 8.881 | 7.200 | 6.450 | 0.17414 | 5.74% | 100 | - | RAW_CONFIRMED
HBAR-EUR | REENTRY_READY | REENTRY_READY | 8.718 | 7.500 | 6.000 | 0.070414 | 3.75% | 84 | WICK_SETUP | RAW_CONFIRMED
ONDO-EUR | REENTRY_READY | ENTRY_WINDOW | 8.033 | 7.350 | 8.450 | 0.36615 | 4.78% | 127 | STABILITY_HOLD | HYSTERESIS_HOLD
T-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 9.125 | 6.500 | 7.900 | 0.0041636 | 2.26% | 45 | - | RAW_CONFIRMED
AXS-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 8.950 | 6.550 | 7.150 | 0.8847 | 0.41% | 39 | - | RAW_CONFIRMED
NPC-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 8.722 | 6.950 | 8.000 | 0.0204421 | 1.73% | 302 | - | RAW_CONFIRMED
AAVE-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 8.603 | 6.500 | 8.950 | 123.84 | 0.89% | 133 | - | RAW_CONFIRMED
GRT-EUR | ENTRY_WINDOW | WATCH | 8.580 | 5.900 | 8.250 | 0.017916 | 3.48% | 281 | SELLER_HEAVY_BOOK,STABILITY_HOLD | HYSTERESIS_HOLD
ORCA-EUR | ENTRY_WINDOW | WATCH | 8.520 | 4.800 | 5.900 | 1.26082 | -0.10% | 55 | LOW_LIQUIDITY,STABILITY_HOLD | HYSTERESIS_HOLD
ACH-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 8.467 | 6.950 | 9.200 | 0.0052499 | 11.02% | 85 | SELLER_HEAVY_BOOK,WICK_SETUP | RAW_CONFIRMED
LAPTOP-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 8.446 | 6.750 | 5.000 | 0.09468 | -8.97% | 7 | - | RAW_CONFIRMED
LPT-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 8.421 | 6.800 | 8.750 | 1.4182 | 4.67% | 115 | SELLER_HEAVY_BOOK | RAW_CONFIRMED
PROVE-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 8.373 | 6.450 | 8.750 | 0.18755 | 7.40% | 79 | - | RAW_CONFIRMED
CHZ-EUR | ENTRY_WINDOW | WATCH | 8.310 | 5.400 | 6.750 | 0.013203 | 3.04% | 41 | WICK_SETUP,STABILITY_HOLD | HYSTERESIS_HOLD
SENT-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 8.218 | 6.500 | 8.600 | 0.015677 | 3.63% | 128 | - | RAW_CONFIRMED
LDO-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 8.206 | 6.550 | 6.950 | 0.36275 | 5.87% | 427 | WICK_SETUP | RAW_CONFIRMED
WAL-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 8.098 | 6.450 | 8.950 | 0.028215 | 10.70% | 128 | WICK_SETUP | RAW_CONFIRMED
AVNT-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 8.067 | 6.650 | 6.700 | 0.09667 | 8.45% | 63 | SELLER_HEAVY_BOOK | RAW_CONFIRMED
UNI-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 8.053 | 6.750 | 8.150 | 7.7731 | 1.43% | 319 | CHASE_RISK | RAW_CONFIRMED
VET-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 8.043 | 7.050 | 8.700 | 0.0074695 | 11.99% | 461 | SELLER_HEAVY_BOOK | RAW_CONFIRMED
HYPE-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 8.025 | 7.650 | 8.750 | 80.541 | 1.02% | 159 | WICK_SETUP | RAW_CONFIRMED
FIL-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 7.976 | 7.150 | 8.400 | 0.85904 | 11.11% | 111 | - | RAW_CONFIRMED
IO-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 7.956 | 6.500 | 7.150 | 0.12392 | 2.08% | 62 | - | RAW_CONFIRMED
G-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 7.946 | 6.200 | 7.300 | 0.0077957 | 6.17% | 11 | SPREAD_RISK,CHASE_RISK | RAW_CONFIRMED
KMNO-EUR | ENTRY_WINDOW | ENTRY_WINDOW | 7.920 | 6.450 | 8.950 | 0.024795 | 1.99% | 166 | SELLER_HEAVY_BOOK,WICK_SETUP | RAW_CONFIRMED
